Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.651,0.508,0.184,1.4647,0.6666,0.3527,0.4239,11
M,0.7,0.564,0.215,1.9137,0.8427,0.4131,0.5715,15
M,0.635,0.491,0.185,1.2804,0.593,0.2571,0.355,13
M,0.671,0.523,0.155,1.4704,0.6076,0.3423,0.4197,13
M,0.589,0.464,0.188,1.0151,0.3253,0.2189,0.3976,15
F,0.623,0.525,0.203,1.4686,0.6135,0.2149,0.4661,26
I,0.651,0.499,0.152,1.4758,0.6214,0.3494,0.4229,10
M,0.559,0.446,0.149,0.9829,0.476,0.1742,0.2755,9
F,0.619,0.476,0.176,0.989,0.4194,0.2177,0.2775,11
F,0.607,0.456,0.14,1.1074,0.5585,0.2174,0.2337,8
I,0.164,0.099,0.058,0.0786,0.0348,0.0218,0.0253,6
M,0.552,0.409,0.118,0.851,0.3551,0.1992,0.1987,9
F,0.203,0.19,0.069,0.075,0.0342,0.0115,0.0401,7
I,0.682,0.545,0.199,1.7457,0.7903,0.3899,0.5041,14
I,0.495,0.387,0.137,0.5752,0.1787,0.1177,0.2282,7
I,0.255,0.233,0.067,0.077,0.0341,0.0221,0.0267,7
I,0.466,0.366,0.131,0.4962,0.1939,0.0852,0.1432,8
F,0.655,0.528,0.188,1.3648,0.5294,0.2492,0.4078,17
M,0.693,0.557,0.201,1.817,0.7603,0.3375,0.5319,16
I,0.345,0.23,0.098,0.1963,0.1254,0.0408,0.0684,10
M,0.66,0.529,0.198,1.3462,0.6295,0.3102,0.4323,10
F,0.663,0.542,0.202,1.6776,0.8252,0.3351,0.4501,13
M,0.642,0.501,0.171,1.5118,0.7911,0.2609,0.3958,9
I,0.495,0.394,0.129,0.5344,0.264,0.0853,0.1811,6
I,0.447,0.306,0.074,0.1956,0.0991,0.0531,0.0637,5
F,0.674,0.525,0.219,1.6644,0.6467,0.356,0.5572,17
M,0.357,0.238,0.097,0.1855,0.0864,0.0513,0.0509,9
M,0.6,0.441,0.154,0.8805,0.3562,0.2212,0.2754,11
M,0.524,0.406,0.14,0.6695,0.2993,0.1584,0.1934,9
M,0.437,0.341,0.123,0.4486,0.1559,0.0939,0.1283,10
M,0.431,0.35,0.126,0.4546,0.2346,0.0599,0.1325,7
F,0.759,0.606,0.249,2.3489,1.0219,0.5812,0.6805,15
F,0.471,0.349,0.121,0.5326,0.3072,0.1491,0.1242,7
M,0.471,0.337,0.099,0.3878,0.1617,0.0944,0.1171,9
I,0.435,0.344,0.118,0.5326,0.1918,0.1165,0.1284,7
I,0.652,0.498,0.196,1.4333,0.6509,0.3963,0.3715,14
M,0.676,0.53,0.194,1.4659,0.6068,0.3179,0.5004,14
F,0.599,0.449,0.162,1.1818,0.4972,0.2352,0.3596,15
F,0.64,0.533,0.218,1.6304,0.6176,0.3331,0.5264,13
M,0.516,0.404,0.137,0.8636,0.3366,0.2243,0.2179,12
I,0.474,0.378,0.114,0.5036,0.2231,0.1299,0.1632,9
I,0.462,0.341,0.103,0.4441,0.1957,0.1105,0.1435,8
F,0.431,0.332,0.089,0.2824,0.1138,0.0655,0.1017,8
M,0.614,0.492,0.17,1.079,0.4499,0.2256,0.3293,13
F,0.43,0.325,0.1,0.3994,0.138,0.0607,0.175,11
M,0.646,0.495,0.159,1.1463,0.4931,0.2165,0.3859,9
F,0.526,0.407,0.139,0.7464,0.3158,0.1731,0.2657,10
F,0.698,0.55,0.183,1.7515,0.6885,0.4258,0.4445,15
M,0.48,0.367,0.112,0.5899,0.307,0.1317,0.1545,10
M,0.609,0.475,0.175,0.986,0.4708,0.187,0.3258,12
I,0.379,0.273,0.082,0.2683,0.102,0.0693,0.1084,6
M,0.318,0.266,0.091,0.141,0.0593,0.0334,0.0644,10
I,0.348,0.288,0.077,0.2591,0.1058,0.0657,0.0493,6
F,0.415,0.349,0.137,0.3019,0.1893,0.0759,0.0793,9
F,0.518,0.361,0.119,0.5831,0.2118,0.1228,0.2009,9
M,0.666,0.526,0.201,1.4808,0.5473,0.3358,0.469,13
F,0.6,0.463,0.131,0.8569,0.3968,0.186,0.1951,9
M,0.515,0.404,0.158,0.7595,0.2979,0.1471,0.2177,13
M,0.703,0.544,0.25,1.7869,0.782,0.4177,0.5911,21
I,0.34,0.277,0.093,0.2306,0.0934,0.0489,0.0769,7
F,0.575,0.425,0.135,0.8807,0.3959,0.1996,0.2263,11
F,0.555,0.42,0.128,0.8153,0.3274,0.155,0.22,11
M,0.646,0.526,0.175,1.4315,0.6848,0.3076,0.3306,13
M,0.478,0.37,0.124,0.5791,0.1942,0.1325,0.259,9
M,0.607,0.489,0.188,1.1905,0.4516,0.229,0.3473,13
I,0.35,0.249,0.087,0.1961,0.0865,0.0362,0.0636,12
F,0.622,0.492,0.16,1.2749,0.5175,0.2394,0.3815,9
M,0.477,0.371,0.142,0.5936,0.217,0.1272,0.2472,14
F,0.64,0.505,0.186,1.3134,0.5643,0.3056,0.3046,11
F,0.595,0.48,0.179,1.0906,0.32,0.2145,0.4049,13
M,0.525,0.389,0.129,0.6536,0.3639,0.1189,0.1726,5
F,0.584,0.455,0.172,1.0464,0.5127,0.226,0.2615,6
F,0.362,0.28,0.069,0.3095,0.1277,0.0496,0.0609,5
F,0.603,0.469,0.157,1.1638,0.4136,0.2491,0.3719,15
I,0.481,0.406,0.136,0.5707,0.1827,0.101,0.2015,11
M,0.675,0.529,0.179,1.4382,0.6569,0.2898,0.4532,16
M,0.736,0.585,0.253,2.1434,1.0613,0.5254,0.5495,12
F,0.696,0.576,0.177,1.8008,0.9236,0.3835,0.4154,11
M,0.467,0.347,0.11,0.368,0.1044,0.0795,0.123,13
I,0.583,0.441,0.119,0.8483,0.3662,0.1918,0.2519,9
M,0.608,0.469,0.168,1.1604,0.4716,0.249,0.3181,9
I,0.563,0.46,0.133,1.0088,0.5176,0.2179,0.2476,12
M,0.613,0.47,0.135,1.1208,0.4817,0.2799,0.3119,12
M,0.502,0.386,0.13,0.7441,0.2832,0.1636,0.2651,9
I,0.343,0.276,0.078,0.2253,0.0874,0.0414,0.0749,8
M,0.503,0.383,0.165,0.5371,0.2435,0.1371,0.1763,9
I,0.188,0.157,0.076,0.0633,0.0156,0.0233,0.0396,5
M,0.481,0.375,0.111,0.6443,0.2761,0.1635,0.2081,10
I,0.505,0.393,0.101,0.566,0.2269,0.0741,0.1398,7
F,0.505,0.386,0.141,0.532,0.2051,0.0863,0.1878,7
M,0.675,0.507,0.189,1.6568,0.7513,0.2919,0.4735,9
M,0.562,0.427,0.154,0.6885,0.3299,0.1341,0.203,9
I,0.245,0.203,0.09,0.1268,0.0464,0.0169,0.0585,7
F,0.47,0.349,0.114,0.3713,0.1451,0.08,0.1501,6
M,0.686,0.561,0.201,1.8098,0.7186,0.4001,0.5437,25
I,0.476,0.356,0.149,0.5216,0.2738,0.1005,0.1258,8
F,0.64,0.516,0.165,1.3425,0.4424,0.3219,0.4277,15
M,0.572,0.457,0.176,1.0002,0.4842,0.1997,0.3147,13
F,0.64,0.509,0.198,1.5219,0.5977,0.3448,0.4946,13
F,0.237,0.214,0.035,0.0467,0.0163,0.0153,0.0253,6
I,0.53,0.393,0.119,0.6549,0.3261,0.1847,0.1291,4
I,0.708,0.573,0.221,1.9259,0.7418,0.4667,0.5628,12
I,0.37,0.288,0.092,0.3425,0.1347,0.0609,0.0905,6
I,0.613,0.493,0.147,1.0775,0.5261,0.2251,0.3403,8
I,0.528,0.403,0.116,0.5058,0.1812,0.1169,0.1686,7
I,0.399,0.295,0.108,0.2237,0.0998,0.0476,0.0817,10
M,0.63,0.482,0.176,1.4555,0.6964,0.3473,0.4031,13
F,0.665,0.526,0.183,1.5259,0.611,0.3325,0.4408,12
I,0.579,0.448,0.131,0.8613,0.4353,0.1658,0.2231,9
M,0.642,0.516,0.201,1.5747,0.7105,0.3225,0.539,15
I,0.535,0.421,0.131,0.696,0.3083,0.1491,0.2277,9
M,0.561,0.446,0.145,0.7517,0.3028,0.1714,0.1758,10
I,0.497,0.364,0.124,0.5872,0.2479,0.1333,0.1304,8
M,0.694,0.544,0.21,1.7221,0.8018,0.4144,0.4144,13
I,0.485,0.378,0.122,0.4159,0.1948,0.0765,0.1765,10
F,0.545,0.404,0.12,0.5965,0.2959,0.136,0.1504,6
I,0.526,0.455,0.157,0.7595,0.2131,0.1511,0.3837,16
I,0.487,0.384,0.117,0.499,0.2599,0.0729,0.1353,7
I,0.661,0.524,0.221,1.6703,0.6621,0.389,0.4419,18
I,0.538,0.456,0.145,0.6679,0.3593,0.1715,0.1788,7
I,0.668,0.538,0.198,1.7063,0.8237,0.3479,0.4978,13
I,0.399,0.284,0.091,0.4421,0.1341,0.1286,0.2026,8
F,0.563,0.431,0.152,0.7243,0.3439,0.1674,0.1973,9
F,0.486,0.39,0.117,0.4819,0.1402,0.1389,0.17,9
F,0.63,0.478,0.158,0.9316,0.3983,0.1675,0.2653,9
M,0.603,0.457,0.144,0.9525,0.4111,0.2701,0.2209,9
I,0.34,0.269,0.081,0.1248,0.0866,0.0349,0.0287,5
I,0.653,0.503,0.183,1.3008,0.446,0.2421,0.4162,16
F,0.531,0.431,0.186,0.8051,0.2969,0.2016,0.1895,17
F,0.459,0.372,0.122,0.4528,0.2158,0.1021,0.1971,8
I,0.432,0.354,0.086,0.3931,0.1849,0.0847,0.0835,8
I,0.235,0.21,0.071,0.1208,0.0615,0.0163,0.0414,9
M,0.611,0.468,0.17,1.163,0.4426,0.208,0.3729,15
F,0.452,0.341,0.106,0.3884,0.1475,0.0875,0.1079,7
M,0.622,0.486,0.16,1.02,0.3809,0.2259,0.3559,8
I,0.42,0.312,0.094,0.3144,0.1819,0.0766,0.1018,7
I,0.461,0.343,0.084,0.4378,0.1253,0.1041,0.1142,9
I,0.654,0.511,0.174,1.7075,0.8294,0.3302,0.4143,9
I,0.389,0.303,0.099,0.3158,0.1619,0.0699,0.095,5
M,0.61,0.49,0.162,0.9677,0.3413,0.1742,0.3242,16
F,0.43,0.35,0.087,0.444,0.1644,0.0931,0.1537,10
I,0.576,0.433,0.129,0.748,0.2548,0.1264,0.3149,13
F,0.629,0.482,0.169,1.4673,0.7809,0.2974,0.3507,11
M,0.508,0.429,0.152,0.7354,0.3659,0.165,0.2339,9
I,0.504,0.372,0.174,0.5269,0.2377,0.1138,0.1974,9
F,0.529,0.401,0.132,0.7055,0.3113,0.1297,0.1727,9
I,0.505,0.393,0.132,0.594,0.3043,0.1462,0.1529,7
F,0.479,0.353,0.118,0.4106,0.1733,0.1094,0.149,11
M,0.613,0.492,0.152,0.9291,0.3391,0.2209,0.2767,18
F,0.56,0.464,0.143,0.9614,0.4336,0.1555,0.2602,7
F,0.292,0.251,0.099,0.1147,0.0499,0.0252,0.0423,9
F,0.588,0.45,0.152,0.9265,0.4083,0.2087,0.2671,8
M,0.563,0.435,0.156,0.8507,0.351,0.1575,0.2928,16
M,0.649,0.519,0.206,1.3375,0.5997,0.2886,0.3561,13
I,0.439,0.331,0.141,0.4084,0.1237,0.0706,0.2077,12
F,0.518,0.447,0.191,0.9594,0.4203,0.1986,0.2928,17
I,0.564,0.479,0.161,1.0211,0.4087,0.1804,0.295,14
I,0.402,0.299,0.082,0.2409,0.1204,0.0734,0.088,6
I,0.513,0.402,0.124,0.58,0.2371,0.1749,0.175,7
M,0.655,0.512,0.182,1.541,0.7609,0.3218,0.4613,13
F,0.452,0.333,0.095,0.4836,0.185,0.0824,0.1193,9
I,0.486,0.36,0.136,0.5023,0.1517,0.1167,0.1367,13
F,0.664,0.532,0.202,1.4129,0.5227,0.349,0.4166,13
I,0.526,0.414,0.137,0.6708,0.2766,0.124,0.1893,10
F,0.581,0.442,0.136,0.9357,0.3956,0.2106,0.2802,12
I,0.472,0.334,0.117,0.5357,0.2194,0.1274,0.1219,9
F,0.529,0.417,0.172,0.7061,0.2239,0.1737,0.2479,10
I,0.52,0.411,0.131,0.5826,0.2655,0.1069,0.1612,9
F,0.549,0.429,0.144,0.7162,0.2628,0.1975,0.2243,9
M,0.464,0.349,0.125,0.4665,0.1634,0.1207,0.159,11
I,0.625,0.494,0.144,1.1279,0.5028,0.2472,0.2722,9
M,0.135,0.077,0.077,0.0501,0.0221,0.0109,0.0107,6
M,0.667,0.525,0.182,1.2754,0.5517,0.2475,0.3699,11
M,0.488,0.405,0.136,0.5926,0.2576,0.083,0.1873,13
F,0.454,0.338,0.103,0.3121,0.1758,0.0637,0.0783,7
I,0.507,0.403,0.129,0.4524,0.198,0.147,0.1556,8
M,0.519,0.413,0.148,0.7548,0.3095,0.1608,0.2369,8
I,0.516,0.413,0.143,0.6356,0.2802,0.1248,0.2014,13
M,0.413,0.291,0.13,0.3794,0.1443,0.0962,0.1219,11
F,0.57,0.44,0.142,0.7961,0.3512,0.1277,0.2223,8
M,0.533,0.429,0.124,0.7029,0.2541,0.1688,0.2715,10
F,0.614,0.501,0.18,1.2587,0.5652,0.2653,0.3392,9
M,0.51,0.414,0.118,0.6728,0.3425,0.1527,0.1785,6
M,0.547,0.435,0.169,0.9609,0.4052,0.2151,0.2938,8
M,0.628,0.478,0.134,0.8381,0.3156,0.1726,0.2306,9
F,0.505,0.369,0.11,0.6201,0.2494,0.1236,0.1783,10
F,0.412,0.316,0.088,0.3659,0.1925,0.0719,0.0882,7
F,0.37,0.268,0.094,0.2044,0.0784,0.0537,0.0874,5
F,0.451,0.34,0.124,0.3541,0.1209,0.0692,0.1448,11
M,0.462,0.382,0.123,0.5214,0.2407,0.0736,0.1787,8
I,0.422,0.351,0.101,0.4843,0.1379,0.0964,0.1819,12
M,0.518,0.411,0.164,0.8859,0.4843,0.1694,0.2021,7
I,0.313,0.197,0.051,0.1352,0.0648,0.0638,0.0307,4
F,0.601,0.499,0.197,1.5113,0.553,0.32,0.4368,14
F,0.416,0.269,0.084,0.2193,0.155,0.0703,0.04,6
F,0.485,0.419,0.108,0.6462,0.2509,0.145,0.2308,7
F,0.453,0.304,0.096,0.4381,0.1795,0.0829,0.1077,8
M,0.511,0.409,0.118,0.6817,0.2363,0.0898,0.232,13
I,0.565,0.47,0.15,1.0705,0.5273,0.1836,0.35,7
I,0.56,0.428,0.152,0.8656,0.3265,0.1668,0.271,10
M,0.528,0.413,0.158,0.8622,0.4438,0.1803,0.1849,8
M,0.55,0.447,0.145,0.9348,0.3664,0.1956,0.244,12
M,0.536,0.428,0.146,0.8868,0.3469,0.2208,0.2633,7
M,0.625,0.494,0.199,1.3982,0.5386,0.2942,0.45,17
F,0.528,0.425,0.156,0.8589,0.3828,0.1767,0.2354,9
F,0.668,0.523,0.204,1.4954,0.6894,0.3127,0.4918,11
F,0.449,0.361,0.1,0.5701,0.2103,0.1171,0.1936,11
M,0.644,0.497,0.176,1.4874,0.7616,0.3293,0.3053,10
F,0.576,0.473,0.2,1.0732,0.498,0.2057,0.3406,13
M,0.687,0.518,0.154,1.309,0.5957,0.3295,0.3951,10
F,0.453,0.335,0.099,0.3358,0.1251,0.0822,0.1126,8
M,0.658,0.506,0.207,1.2822,0.587,0.3613,0.3494,12
I,0.426,0.321,0.099,0.2831,0.1042,0.0553,0.0682,9
I,0.598,0.474,0.143,1.0428,0.4245,0.2397,0.306,7
M,0.52,0.406,0.115,0.7772,0.4534,0.1744,0.1614,9
F,0.364,0.269,0.129,0.3064,0.1199,0.0784,0.1314,14
M,0.283,0.18,0.086,0.1629,0.0714,0.0248,0.0524,7
I,0.564,0.424,0.149,0.9302,0.3881,0.167,0.2922,11
M,0.6,0.465,0.194,1.1972,0.4782,0.221,0.4277,11
I,0.447,0.346,0.119,0.4514,0.2584,0.1034,0.1216,8
I,0.403,0.327,0.115,0.2278,0.1035,0.0511,0.0889,11
I,0.57,0.421,0.137,0.6588,0.2869,0.1584,0.1932,9
F,0.668,0.532,0.179,1.5688,0.6912,0.2945,0.3945,9
I,0.565,0.432,0.151,0.7381,0.3481,0.2028,0.1742,11
M,0.388,0.289,0.099,0.2713,0.1045,0.1101,0.0754,11
I,0.529,0.439,0.119,0.6452,0.2947,0.1413,0.1814,8
M,0.573,0.441,0.135,0.8672,0.3857,0.1424,0.2528,12
M,0.595,0.476,0.146,1.2721,0.5209,0.2995,0.3185,15
I,0.651,0.537,0.201,1.3815,0.643,0.2951,0.3998,12
M,0.681,0.532,0.193,1.6178,0.6329,0.3759,0.5137,16
I,0.519,0.41,0.123,0.668,0.3677,0.1026,0.1536,8
F,0.298,0.261,0.11,0.1586,0.0655,0.0259,0.0807,9
I,0.578,0.453,0.174,0.8205,0.3258,0.171,0.2451,12
F,0.554,0.423,0.11,0.5052,0.2247,0.106,0.1888,7
F,0.647,0.504,0.166,1.075,0.4444,0.2299,0.3755,10
F,0.525,0.367,0.127,0.612,0.2513,0.1601,0.1289,7
F,0.284,0.184,0.071,0.1876,0.0904,0.0387,0.0417,4
F,0.461,0.368,0.131,0.511,0.1695,0.0926,0.1615,9
M,0.606,0.474,0.184,1.0613,0.441,0.2158,0.3699,8
F,0.627,0.474,0.137,1.1106,0.4387,0.2586,0.2803,7
M,0.545,0.429,0.151,0.9368,0.3076,0.249,0.2133,13
M,0.757,0.594,0.22,2.1727,0.9152,0.4927,0.6191,21
I,0.484,0.365,0.134,0.5647,0.1973,0.1415,0.2393,8
F,0.552,0.403,0.117,0.7945,0.3843,0.1233,0.2205,8
F,0.532,0.429,0.124,0.6996,0.3041,0.161,0.2273,11
I,0.643,0.497,0.154,1.1502,0.4284,0.2558,0.3458,7
I,0.399,0.333,0.113,0.3393,0.1342,0.0441,0.0917,7
I,0.602,0.47,0.127,0.9552,0.4486,0.2229,0.2476,7
I,0.321,0.232,0.088,0.1795,0.0351,0.045,0.038,4
F,0.653,0.512,0.243,1.4936,0.6484,0.3908,0.402,14
I,0.171,0.087,0.034,0.0196,0.0068,0.0036,0.0126,6
F,0.632,0.486,0.172,1.3803,0.5468,0.2581,0.4107,12
M,0.563,0.423,0.148,0.8675,0.3693,0.2321,0.2664,11
I,0.389,0.25,0.098,0.2633,0.1245,0.06,0.0417,8
F,0.579,0.477,0.168,0.8219,0.2929,0.1693,0.2692,6
I,0.287,0.197,0.06,0.0661,0.0411,0.0104,0.0194,7
I,0.573,0.474,0.16,1.0757,0.5687,0.2281,0.2128,6
I,0.622,0.487,0.144,0.9811,0.4259,0.1578,0.2962,8
I,0.517,0.384,0.121,0.6078,0.3173,0.1845,0.1178,6
M,0.487,0.403,0.102,0.3717,0.1719,0.08,0.1498,7
M,0.575,0.476,0.144,0.9983,0.4027,0.159,0.3061,11
I,0.311,0.222,0.092,0.164,0.0486,0.0307,0.0705,11
F,0.511,0.356,0.118,0.5848,0.2767,0.1312,0.1349,9
M,0.489,0.395,0.128,0.7779,0.341,0.2014,0.1638,9
F,0.337,0.293,0.063,0.1375,0.0836,0.0353,0.0333,8
M,0.691,0.547,0.221,1.6982,0.7541,0.366,0.4829,14
F,0.553,0.418,0.147,0.7776,0.2381,0.1777,0.2141,13
F,0.547,0.418,0.116,0.6436,0.3163,0.1896,0.1927,8
I,0.489,0.39,0.109,0.5319,0.1499,0.0985,0.2044,15
I,0.351,0.248,0.103,0.2301,0.1043,0.046,0.0843,7
I,0.685,0.546,0.224,1.727,0.8438,0.3498,0.5032,16
F,0.562,0.437,0.158,0.9624,0.4201,0.1921,0.251,11
I,0.585,0.468,0.146,0.8794,0.4264,0.1683,0.2439,12
F,0.31,0.234,0.072,0.1911,0.0775,0.0522,0.0423,8
F,0.486,0.353,0.112,0.4086,0.1517,0.075,0.1499,8
I,0.512,0.427,0.135,0.7815,0.3535,0.1952,0.2311,11
F,0.481,0.367,0.134,0.6068,0.2065,0.1387,0.1512,12
I,0.604,0.489,0.152,1.0155,0.5137,0.2461,0.2017,10
I,0.441,0.371,0.097,0.4293,0.1876,0.0775,0.1538,7
M,0.536,0.395,0.128,0.7128,0.3058,0.1538,0.1919,8
M,0.607,0.478,0.15,1.0625,0.4925,0.2513,0.2345,11
M,0.665,0.514,0.213,1.2904,0.5986,0.315,0.39,13
F,0.629,0.487,0.179,1.1567,0.4403,0.2395,0.3536,11
M,0.458,0.375,0.106,0.399,0.1886,0.067,0.1129,8
M,0.686,0.527,0.224,1.5397,0.6307,0.3176,0.5243,12
I,0.331,0.279,0.106,0.2663,0.1173,0.0481,0.0915,6
I,0.341,0.267,0.079,0.1698,0.0835,0.0267,0.0719,5
F,0.447,0.341,0.141,0.449,0.1824,0.0857,0.1262,8
I,0.588,0.445,0.161,1.1206,0.4622,0.2577,0.3272,7
M,0.703,0.545,0.209,1.7827,0.9094,0.3912,0.455,8
M,0.5,0.417,0.131,0.7834,0.3421,0.1632,0.2071,11
M,0.534,0.439,0.158,0.8716,0.3514,0.1762,0.217,11
M,0.401,0.311,0.109,0.4364,0.1867,0.1161,0.09,9
M,0.689,0.536,0.22,1.6727,0.7835,0.3649,0.4588,11
F,0.664,0.517,0.188,1.5702,0.7008,0.3412,0.4093,10
M,0.702,0.56,0.203,1.7827,0.7455,0.392,0.4641,14
I,0.659,0.5,0.164,1.5106,0.6959,0.3326,0.4209,15
I,0.402,0.306,0.075,0.2259,0.0965,0.0548,0.0621,7
F,0.632,0.476,0.171,1.2419,0.5498,0.3264,0.3436,9
M,0.559,0.443,0.13,0.8172,0.3942,0.2176,0.1687,6
M,0.579,0.444,0.15,0.8462,0.3132,0.1725,0.2364,7
I,0.447,0.348,0.109,0.5078,0.1982,0.1322,0.0956,9
I,0.569,0.456,0.183,1.077,0.4334,0.181,0.3404,13
F,0.634,0.491,0.176,1.09,0.5464,0.2527,0.2375,8
F,0.749,0.602,0.245,2.473,1.2012,0.5445,0.6326,16
M,0.664,0.531,0.178,1.4065,0.6178,0.2469,0.4689,13
F,0.524,0.407,0.123,0.6975,0.2812,0.1189,0.2093,8
F,0.707,0.573,0.218,1.8966,0.8732,0.3728,0.5212,16
F,0.413,0.285,0.122,0.428,0.2231,0.0666,0.1067,9
M,0.514,0.358,0.193,0.8597,0.407,0.1494,0.2912,16
M,0.459,0.344,0.112,0.286,0.1431,0.1002,0.0685,6
F,0.489,0.389,0.144,0.5603,0.2249,0.121,0.1815,10
I,0.417,0.3,0.093,0.2497,0.1052,0.0487,0.08,9
I,0.311,0.22,0.102,0.1681,0.0679,0.0334,0.065,7
F,0.499,0.346,0.124,0.5292,0.2442,0.1372,0.1153,8
M,0.547,0.428,0.124,0.8894,0.2974,0.1453,0.2714,11
F,0.553,0.46,0.125,0.8219,0.3396,0.1811,0.2223,10
M,0.495,0.391,0.161,0.6809,0.2627,0.1537,0.2968,14
I,0.392,0.319,0.124,0.2899,0.1649,0.083,0.0705,7
I,0.466,0.356,0.086,0.2544,0.1256,0.0751,0.071,6
M,0.637,0.498,0.159,1.2187,0.5767,0.2171,0.337,12
I,0.521,0.372,0.11,0.5725,0.3029,0.0889,0.1049,8
M,0.484,0.401,0.149,0.6472,0.2735,0.1581,0.1881,7
I,0.394,0.308,0.089,0.3431,0.1605,0.0688,0.0833,7
M,0.51,0.403,0.137,0.5987,0.2562,0.0921,0.195,13
M,0.548,0.449,0.191,1.0268,0.483,0.2369,0.2669,12
F,0.565,0.443,0.142,0.9085,0.3772,0.2664,0.2507,11
M,0.616,0.504,0.168,1.2813,0.6274,0.2703,0.3748,9
F,0.316,0.251,0.072,0.1766,0.1018,0.035,0.0445,5
I,0.366,0.261,0.084,0.2498,0.1352,0.0676,0.0684,5
I,0.502,0.397,0.147,0.8598,0.3347,0.1758,0.2604,7
M,0.668,0.536,0.18,1.7099,0.6744,0.3425,0.4814,15
M,0.593,0.429,0.168,1.0329,0.4415,0.2691,0.2934,10
M,0.553,0.451,0.14,0.9209,0.4795,0.2064,0.2624,9
I,0.496,0.358,0.133,0.4853,0.1428,0.0822,0.1454,6
F,0.258,0.149,0.062,0.0893,0.0303,0.0192,0.0386,6
F,0.48,0.349,0.15,0.7026,0.3211,0.1347,0.1622,10
M,0.421,0.362,0.113,0.4438,0.145,0.0819,0.1747,13
F,0.712,0.574,0.172,1.8515,0.9459,0.3742,0.4406,10
F,0.468,0.391,0.136,0.5793,0.2071,0.2031,0.1804,10
F,0.401,0.265,0.106,0.2462,0.1089,0.0517,0.1136,11
F,0.595,0.472,0.176,1.1125,0.4626,0.2274,0.2933,14
I,0.558,0.424,0.141,0.8392,0.3129,0.1976,0.2264,11
M,0.62,0.501,0.181,1.2695,0.4373,0.3027,0.4209,14
M,0.535,0.4,0.166,0.8135,0.355,0.1924,0.2552,9
I,0.476,0.377,0.144,0.5708,0.1944,0.142,0.2041,13
I,0.573,0.439,0.107,0.7408,0.4205,0.1397,0.1393,9
M,0.468,0.392,0.111,0.481,0.1471,0.0799,0.1959,10
M,0.4,0.324,0.123,0.5183,0.2568,0.1129,0.1626,9
M,0.677,0.522,0.19,1.519,0.6826,0.3613,0.4195,15
M,0.586,0.452,0.153,1.0432,0.4291,0.2318,0.2708,11
M,0.515,0.392,0.109,0.5829,0.2577,0.1693,0.1718,10
F,0.399,0.304,0.098,0.3466,0.1177,0.0701,0.1315,9
M,0.594,0.446,0.176,0.9083,0.3206,0.1545,0.3186,14
I,0.514,0.417,0.093,0.5715,0.2306,0.1175,0.2006,8
M,0.508,0.424,0.146,0.5281,0.1967,0.1093,0.2264,16
I,0.381,0.3,0.091,0.1947,0.0681,0.0509,0.061,7
I,0.264,0.198,0.097,0.1262,0.0536,0.0121,0.0543,10
M,0.589,0.476,0.2,0.9793,0.4889,0.2697,0.321,10
M,0.531,0.438,0.149,0.4845,0.1674,0.1191,0.1741,10
I,0.437,0.287,0.094,0.2534,0.1116,0.0715,0.087,7
M,0.551,0.428,0.148,1.1568,0.4451,0.2542,0.3203,13
F,0.557,0.427,0.171,1.013,0.4023,0.2098,0.3007,10
M,0.625,0.512,0.189,1.427,0.5236,0.2917,0.4826,18
M,0.422,0.336,0.096,0.3109,0.1034,0.0727,0.0973,7
M,0.384,0.304,0.117,0.3442,0.1258,0.0853,0.0895,9
M,0.565,0.46,0.166,1.0052,0.3431,0.2338,0.3063,13
M,0.716,0.559,0.186,1.6633,0.6487,0.3761,0.5038,15
I,0.481,0.354,0.129,0.6591,0.2911,0.1355,0.1513,12
I,0.488,0.383,0.125,0.4931,0.3091,0.076,0.1175,8
M,0.654,0.491,0.171,1.1706,0.5046,0.2733,0.3348,12
I,0.261,0.202,0.041,0.0805,0.0385,0.009,0.0422,7
I,0.585,0.484,0.156,1.0971,0.5259,0.18,0.305,9
I,0.389,0.306,0.103,0.2498,0.0978,0.0564,0.1028,9
I,0.476,0.351,0.13,0.4181,0.1365,0.0895,0.1613,8
F,0.458,0.335,0.111,0.3098,0.1752,0.0787,0.1175,6
I,0.557,0.434,0.14,0.6504,0.2428,0.1523,0.247,10
F,0.51,0.401,0.163,0.8292,0.264,0.1707,0.2765,14
I,0.205,0.124,0.041,0.0295,0.0088,0.0065,0.0152,5
I,0.371,0.27,0.108,0.3368,0.1581,0.0779,0.1191,7
I,0.355,0.233,0.083,0.1563,0.1015,0.0599,0.0321,5
F,0.553,0.431,0.136,0.8734,0.372,0.1627,0.2423,11
F,0.421,0.346,0.108,0.312,0.1534,0.0672,0.0979,10
I,0.507,0.401,0.134,0.5948,0.285,0.1147,0.1273,6
M,0.56,0.423,0.118,0.7545,0.3509,0.1403,0.1762,12
I,0.577,0.447,0.165,0.9974,0.3721,0.2336,0.3562,13
F,0.47,0.39,0.143,0.5953,0.2821,0.1092,0.1517,8
F,0.481,0.38,0.166,0.4616,0.1923,0.1144,0.1768,7
I,0.504,0.428,0.126,0.8555,0.3366,0.1851,0.2429,8
M,0.609,0.484,0.154,1.1853,0.5428,0.2693,0.3523,9
I,0.452,0.352,0.125,0.4175,0.1328,0.109,0.1727,12
